animal_id	breed_primary_id	breed_secondary	breed_secondary_id	age_group	age_group_id	gender	gender_id	location	location_id	source	source_id	surrender_reason	surrender_reason_id	color_code	color_code_id	Behavior Consult	OK with Dogs	House Trained	Part of a Bonded Pair	Special Fee	No Children	No Cats	No Dogs	Longterm Resident	Employee Pick	Hidden Gem	Medical Consult	Special Needs	OK with Cats	Reduced Fee	Adoption Fee Waived	Consult Required	Training Class Required	intake_date	return	name	breed_primary	date_of_birth	departure	adoption_time
continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	continuous	discrete	continuous	discrete	discrete	discrete	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	time	discrete	string	string	string	string	string
																																				meta	meta	meta	meta	meta
72573.0	4287.0	Jack Russell Terrier / Parson Russell Terrier	4330	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Too many animals already	236	blue	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-18 00:00:00	0	Pretty Boy Bingo	Chihuahua	2010-02-23	2019-10-05	48
73378.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Moving	228	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-23 00:00:00	0	Rocket	American Pit Bull Terrier	2009-11-09	2019-09-30	7
120738.0	4287.0	Jack Russell Terrier / Parson Russell Terrier	4330	Senior	4	Male	1	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Too many animals already	236	blue	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-18 00:00:00	0	Jr Wonderful	Chihuahua	2011-03-24	2019-10-13	56
136924.0	4659.0	NULL	NULL	Mature Adult	5	Female	2	Oceanside Campus - Dogs	56.0	Stray	14.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-10 00:00:00	0	Maple	Terrier	2013-10-30	2019-10-17	37
137295.0	4253.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Moving/No pets allowed	250	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-26 00:00:00	0	Jazzy Jeff 	American Staffordshire Terrier	2013-07-22	2019-10-06	10
168519.0	4252.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Behavior - Aggression Displayed Other Then A Bite	252	orange	2.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-21 00:00:00	0	Coco	American Pit Bull Terrier	2013-03-31	2019-11-29	69
181383.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	ACO Impound	32.0	No time for animal	230	blue	1.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-13 00:00:00	0	Rex	American Pit Bull Terrier	2015-04-01	2019-10-17	34
215554.0	4714.0	American Pit Bull Terrier	4252	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Moving	228	orange	2.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-22 00:00:00	0	Nala	American Bulldog	2015-11-05	2019-09-30	8
216012.0	4253.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Moving	228	orange	2.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-22 00:00:00	0	Callie	American Staffordshire Terrier	2014-11-07	2019-09-30	8
234080.0	4368.0	Shih Tzu	4385	Mature Adult	5	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Other	268	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-28 00:00:00	0	Marilyn	Miniature Poodle	2015-05-27	2019-10-10	43
235539.0	4253.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	New baby	229	purple	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-28 00:00:00	0	Kane	American Staffordshire Terrier	2014-02-01	2019-09-30	2
275273.0	6397.0	Shepherd	8221	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Allergies to pet	213	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-26 00:00:00	0	Charlie	Labrador Retriever	2017-06-12	2019-10-06	10
280929.0	6397.0	Border Collie	4272	Senior	4	Female	2	Oceanside Campus - Dogs	56.0	ACO Impound	32.0	NULL	NULL	purple	3.0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-21 00:00:00	0	Shelly	Labrador Retriever	2011-01-14	2019-10-01	41
281129.0	6397.0	Shepherd	8221	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	ACO Impound	32.0	NULL	NULL	purple	3.0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-21 00:00:00	0	Brad	Labrador Retriever	2015-10-31	2019-10-01	41
290023.0	4287.0	NULL	NULL	Mature Adult	5	Female	2	Escondido Campus	64.0	ACO Impound	32.0	NULL	NULL	purple	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-13 00:00:00	0	Candy	Chihuahua	2012-04-13	2019-10-02	19
355472.0	6397.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	No time for animal	230	blue	1.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-07 00:00:00	0	Lucky 	Labrador Retriever	2014-01-01	2019-10-10	33
383391.0	4385.0	NULL	NULL	NULL	NULL	Male	1	San Diego Campus - 5500	53.0	Stray	14.0	NULL	NULL	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-23 00:00:00	0	Zorro	Shih Tzu	2013-12-22	2019-10-01	8
393743.0	6397.0	Shar Pei	4382	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Moving	228	blue	1.0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2019-08-15 00:00:00	0	Oso	Labrador Retriever	2017-01-07	2019-10-01	47
444019.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	No time for animal	230	orange	2.0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2019-08-03 00:00:00	0	Chip	American Pit Bull Terrier	2015-07-14	2019-10-06	64
546873.0	4252.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	orange	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2019-08-16 00:00:00	0	Leia	American Pit Bull Terrier	2013-12-26	2019-10-31	76
546886.0	4256.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Behavior - Aggression That Resulted In A Bite	256	blue	1.0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2019-09-14 00:00:00	0	Ozzie	Australian Cattle Dog / Blue Heeler	2017-04-02	2019-10-03	19
562804.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	Escondido Campus	64.0	Owner Surrender	2.0	Behavior - Possession Aggression Exhibited	253	orange	2.0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2019-09-28 00:00:00	0	Jasper	American Pit Bull Terrier	2014-12-19	2020-01-15	109
563187.0	4386.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Other	268	orange	2.0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2019-09-14 00:00:00	0	Brock	Siberian Husky	2018-06-05	2019-10-06	22
571756.0	4313.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Destructive Behavior	263	blue	1.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2019-09-27 00:00:00	0	Aphrodite	German Shepherd	2011-02-02	2019-10-14	17
576509.0	4253.0	NULL	NULL	Mature Adult	5	Female	2	Escondido Campus	64.0	Returns	23.0	NULL	NULL	blue	1.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2019-09-10 00:00:00	0	Luna	American Staffordshire Terrier	2016-02-23	2019-10-27	47
582828.0	4659.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Behavior - Possession Aggression Exhibited	253	purple	3.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-20 00:00:00	0	Milo	Terrier	2018-08-28	2019-10-03	13
584937.0	4297.0	NULL	NULL	Senior	4	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Not allowed to keep	238	blue	1.0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2019-09-01 00:00:00	0	Iris	Dachshund	2011-04-06	2019-10-17	46
584939.0	4297.0	NULL	NULL	Senior	4	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Not allowed to keep	238	blue	1.0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2019-09-01 00:00:00	0	Rose	Dachshund	2011-04-06	2019-10-17	46
585602.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender - ACO	85.0	NULL	NULL	blue	1.0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	2019-04-10 00:00:00	0	Buddy Holly	American Pit Bull Terrier	2016-04-09	2019-10-23	196
588161.0	4253.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Too many animals already	236	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-29 00:00:00	0	Snoop	American Staffordshire Terrier	2015-04-21	2019-10-01	2
590116.0	4252.0	NULL	NULL	Adolescent (6-12mos)	2	Male	1	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	orange	2.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-11 00:00:00	0	Scarface	American Pit Bull Terrier	2018-10-28	2019-10-13	32
594283.0	4287.0	Terrier	4659	Mature Adult	5	Male	1	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	No time for animal	230	blue	1.0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-01 00:00:00	0	Sandor	Chihuahua	2013-05-16	2019-10-10	39
594796.0	4301.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	No time for animal	230	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-29 00:00:00	0	Whiskey	Doberman Pinscher	2014-05-18	2019-09-30	1
596478.0	4253.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	blue	1.0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2019-08-18 00:00:00	0	Tyson 	American Staffordshire Terrier	2017-10-01	2019-10-16	59
599193.0	4252.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	orange	2.0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2019-06-06 00:00:00	0	Grandy	American Pit Bull Terrier	2018-08-06	2019-10-30	146
599636.0	4287.0	NULL	NULL	Mature Adult	5	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Other	268	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-26 00:00:00	0	Dawn	Chihuahua	2017-12-07	2019-09-30	4
600360.0	4287.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	blue	1.0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-24 00:00:00	0	Zoe	Chihuahua	2014-03-04	2019-10-04	41
